VTÿ(V),SS (Vdec),IonIoff,OSC Material,Dielectric Material,Gate Material
-0.86,0.163,1.00E+06,Pentacene,Al2O3,Aluminum(Al)
-0.97,0.119,1.00E+05,Pentacene,Al2O3,Aluminum(Al)
-1.06,0.13,1.00E+05,Pentacene,Al2O3,Aluminum(Al)
-0.63,0.147,1.00E+06,Pentacene,Al2O3,Aluminum(Al)
-0.525,0.347,1.00E+04,Pentacene,Al2O3,Aluminum (Al)
-0.555,0.481,2.20E+04,Pentacene,SiO2,Si /Al
-0.692,0.367,7.90E+04,Pentacene,Si3N4,Si /Al
-0.795,0.286,4.20E+05,Pentacene,HfO2,Si /Al
-0.804,0.28,5.30E+05,Pentacene,Ta2O5,Si /Al
-0.497,0.371,7.30E+03,Pentacene,Si3N4,Aluminum (Al)
-0.566,0.365,7.70E+03,Pentacene,Si3N4,Aluminum (Al)
-0.601,0.291,3.70E+04,Pentacene,HfO2,Aluminum (Al)
-0.666,0.284,4.10E+04,Pentacene,HfO2,Aluminum (Al)
-0.61,0.284,4.70E+04,Pentacene,Ta2O5,Aluminum (Al)
-0.676,0.278,5.20E+04,Pentacene,Ta2O5,Aluminum (Al)
-0.367,0.484,2.10E+03,Pentacene,SiO2,Aluminum (Al)
-0.439,0.479,2.20E+03,Pentacene,SiO2,Aluminum (Al)
-0.525,0.347,1.00E+04,Pentacene,Al2O3,Aluminum (Al)
-0.594,0.341,1.10E+04,Pentacene,Al2O3,Aluminum (Al)
0,0.11,1.90E+08,Pentacene,Al2O3,Aluminum(Al)
0,0.02,7.90E+08,Pentacene,Al2O3,Aluminum (Al)
1.2,0.32,9.50E+03,Pentacene,Al2O3,Aluminum (Al)
1.1,0.26,1.90E+04,Pentacene,Al2O3,Aluminum (Al)
2.2,0.32,4.50E+03,Pentacene,Al2O3,Al
-0.815,0.428,1.00E+06,Pentacene,Al2O3,Ti
-1,0.36,2.00E+03,Pentacene,SiO2,n+ÿSi
-1.2,0.28,4.00E+03,Pentacene,SiO2,n+ÿSi
-1.4,0.25,3.00E+04,Pentacene,SiO2,n+ÿSi
-1.1,0.3,3.00E+03,Pentacene,SiO2,n+ÿSi
-2,2,3.20E+03,Pentacene,SiO2,n+ÿSi
-2.61,1.1,1.28E+03,Pentacene,SiO2,n+ÿSi
-0.9,0.2,1.00E+03,Pentacene,Al2O3,Aluminum(Al)
-0.1,0.8,1.00E+05,Pentacene,Al2O3,Aluminum(Al)
-32,7.2,1.00E+05,Pentacene,PET,PEDOT: PSS
-30,14.5,1.00E+05,Pentacene,PET,PEDOT: PSS
-0.57,0.17,2.10E+04,Pentacene,SiO2ÿ+Al2O3,p-Si
-8,1.3,1.00E+05,Pentacene,PVP copolymer Cross- linked PVP SiO2+ OTS SiO2,Silicon
-5,1.2,1.00E+05,Pentacene,PVP copolymer Cross- linked PVP SiO2+ OTS SiO2,Silicon
-1,0.5,1.00E+07,Pentacene,PVP copolymer Cross- linked PVP SiO2+ OTS SiO2,Silicon
2,0.7,1.00E+06,Pentacene,PVP copolymer Cross- linked PVP SiO2+ OTS SiO2,Silicon
